,review,score,source
682,product clearly ready prime time dont care cool looks cant tell call coming worthless,0,Amazon
683,love ringtones upbeat,1,Amazon
684,chinese forgeries abound,0,Amazon
685,easy pair samsung cell,1,Amazon
686,instructions didnt explain microphone jack could used,0,Amazon
687,would advise purchase item never worked well,0,Amazon
688,bad pay month service,0,Amazon
689,works well,1,Amazon
690,nokia ca usb cable work phone,0,Amazon
691,clear crisp sound,1,Amazon
692,use smallest earpieces provided stays pretty well,1,Amazon
693,biggest complaint battery drains superfast,0,Amazon
694,design might ergonomic theory could stand ear,0,Amazon
695,buy want use holster,0,Amazon
696,phone also take great pictures even video clips,1,Amazon
697,doesnt make look cool,0,Amazon
698,ears occupied background distracting,1,Amazon
699,comfortable fit need headset comfortable least hour time entire day,1,Amazon
700,also phone doesnt seem accept anything except cbr mps preferably ripped windows media player,0,Amazon
701,cant beat price,1,Amazon
702,comes strong light use light camera shots even flash sos signals seriously,1,Amazon
703,lightweight works well,1,Amazon
704,beware,0,Amazon
705,love cable allows connect miniusb device pc,1,Amazon
706,anyone near hear part conversation,0,Amazon
707,cool cases open allowing screen get scratched,1,Amazon
708,bought phone replacement startac regretted since,0,Amazon
709,appears actually outperform original battery china came vi,1,Amazon
710,cant store anything phone numbers sim,0,Amazon
711,lasts less minutes actually try use phonemy wife phone problem,0,Amazon
712,poor quality,0,Amazon
713,jabra ear gels r best,1,Amazon
714,worth,0,Amazon
715,phone crashed completely get replaced,0,Amazon
716,quit working id used months purchased another one best headset ive ever owned,1,Amazon
717,unfortunately recharge iphone despite connecting multiple power sources imac external battery wall outlet etc,0,Amazon
718,great phone,1,Amazon
719,simply want small flip phone look elsewhere extra bells whistles mediocre,0,Amazon
720,good value works fine power via usb car wall outlet,1,Amazon
721,phone doesnt slide around car grip prevents phone slipping hand,1,Amazon
722,simply best bluetooth headset sound quality,1,Amazon
723,think plan onethis sure last moto phone,0,Amazon
724,span hour two people exclaim whoa new phone tv,1,Amazon
725,always used corded headsets freedom wireless helpful,1,Amazon
726,case passed one year mark shows signs wear functional,1,Amazon
727,leather nice soft fit tight cut face good shape,1,Amazon
728,everything need couldnt ask,1,Amazon
729,receiving using product days broke,0,Amazon
730,product great makes working lot easier go copier waiting hold something,1,Amazon
731,none three sizes sent headset would stay ears,0,Amazon
732,tmobile best customer service anywhere,1,Amazon
733,arrived quickly much less expensive others sold,1,Amazon
734,tried units failed within months pros,0,Amazon
735,provides good protection looks classy,1,Amazon
736,krussel always good,1,Amazon
737,tracfonewebsite user friendly makes easy toactivate etc,1,Amazon
738,design good,1,Amazon
739,great reception time,1,Amazon
740,would highly recommend product,1,Amazon
741,couldnt use unit sunglasses good texas,0,Amazon
742,dit work time nokia,0,Amazon
743,bought mainly charger broke soon purchasing,0,Amazon
744,like loud buzzing override conversations phone,0,Amazon
745,fantastic buy get whatever next phone,1,Amazon
746,stay away store careful,0,Amazon
747,blueant supertooth handsfree phone speaker awesome,1,Amazon
748,fit,0,Amazon
749,item arrived quickly works great metro pcs samsung schr slider phone sony premium sound ear plugs,1,Amazon
750,light plenty battery capacity confortable wear somewhat extended periods time,1,Amazon
751,disappointing,0,Amazon
752,blue ant easy use,1,Amazon
753,cheap hey works pleasantly suprised given low cost item,1,Amazon
754,camera phone may used dustpan indoors id rather using disposable,0,Amazon
755,days later puff smoke came phone use,0,Amazon
756,convenient simple use gets job done makes car ride much smoother,1,Amazon
757,nano stated itmy son dissapointed,0,Amazon
758,sound quality excellent well,1,Amazon
759,best headset used,1,Amazon
760,would reccommend,0,Amazon
761,around years carries highest quality antiglare screen protector found date,1,Amazon
762,wanted,1,Amazon
763,particular model would work motorola q smartphone,0,Amazon
764,wont work right atleast,0,Amazon
765,addition feels amp looks phone lightweight cheap plastic,0,Amazon
766,warranty problems reoccurebottom line put money somewhere else cingular support,0,Amazon
767,really wanted plantronics right one many issues methe good,0,Amazon
768,great product,1,Amazon
769,crisp clear,1,Amazon
770,first charge kept going dead minutes,0,Amazon
771,cheap plastic creaks like old wooden floor,0,Amazon
772,get absolutely horrible reception apartment phones problem,0,Amazon
773,reception generally good,1,Amazon
774,excellent sound battery life inconspicuous boot,1,Amazon
775,great bluetooth,1,Amazon
776,highly recommend case,1,Amazon
777,worthwhile,1,Amazon
778,great deal,1,Amazon
779,phone got year old slowly breaking despite much care part,0,Amazon
780,sorry made purchase,0,Amazon
781,bought hoping could make bluetooth headset fit better things made impossible wear,0,Amazon
782,treo tmobile refused replace forced buy another phone without kind upgrade discount,0,Amazon
783,horrible,0,Amazon
784,dont think would hold securly belt,0,Amazon
785,allows possibility double booking date time first,0,Amazon
786,work weeks break,0,Amazon
787,simple use like,1,Amazon
788,great tool entertainment communication data managementoh sure use activesync optimal data synchronization results,1,Amazon
789,cant use case smell disgusting,0,Amazon
790,wanted,0,Amazon
791,cases would order another,1,Amazon
792,great phone,1,Amazon
793,bought battery coupon amazon im happy purchase,1,Amazon
794,internet access fine rare instance worked,0,Amazon
795,perfect ps,1,Amazon
796,five star plus plus,1,Amazon
797,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,1,Amazon
798,drain,0,Amazon
799,tried talking real loud shouting telephone gets old still told wasnt great,0,Amazon
800,good works fine,1,Amazon
801,price great deal,1,Amazon
802,great price,1,Amazon
803,wind completely useless,0,Amazon
804,yes shiny front side love,1,Amazon
805,work,0,Amazon
806,first thought grtting good deal plugged phone vc razr,0,Amazon
807,reception headset excellent,1,Amazon
808,thumbs seller,1,Amazon
809,verizon lg phone work well together good reception range exceeds feet line sight,1,Amazon
810,improper description return,0,Amazon
811,works comfortable,1,Amazon
812,battery chargelife quite long,1,Amazon
813,jabra eargels fit ears well,1,Amazon
814,battery life,0,Amazon
815,checked everywhere feature really disappointing,0,Amazon
816,product exactly described,1,Amazon
817,gets signal verizon phones wont,1,Amazon
818,doesnt job,0,Amazon
819,would recommend,1,Amazon
820,plan ordering,1,Amazon
821,said phone camera nice many cool effects play video decent well,1,Amazon
822,satisfied cell phone day one,1,Amazon
823,keep getting better better third one ive numerous palms,1,Amazon
824,awkward use unreliable,0,Amazon
825,shipping time also quick,1,Amazon
826,good hoped,0,Amazon
827,good case,1,Amazon
828,doesnt work,0,Amazon
829,really good product,1,Amazon
830,unfortunately work,0,Amazon
831,three broke within two months use,0,Amazon
832,dont buy,0,Amazon
833,father v battery dying,0,Amazon
834,however ear pads come easily one week lost one,0,Amazon
835,calls drop phone comes screen goes black worst stops ringing intermittently,0,Amazon
836,horrible horrible protector,0,Amazon
837,dont like nokia either,0,Amazon
838,reaching bottom row uncomfortable send end keys expect,0,Amazon
839,bought nokia cell phone weeks ago nightmare,0,Amazon
840,would take long describe bad customer service experience amazon,0,Amazon
841,disappointing thing speakerphone,0,Amazon
842,terrible car accept cassette,0,Amazon
843,product useless since enough charging current charge cellphones planning use,0,Amazon
844,says,0,Amazon
845,stay away q,0,Amazon
846,used dirty,0,Amazon
847,unreliable service tmobile,0,Amazon
848,good enough price,0,Amazon
849,bought two neither charge,0,Amazon
850,looks nice,1,Amazon
851,excellent tool especially paired phones autoanswer,1,Amazon
852,read others reviews havent problem,1,Amazon
853,products cover important light sensor ear outlet,0,Amazon
854,comfortable hand,1,Amazon
855,work,0,Amazon
856,poor reliability,0,Amazon
857,works,1,Amazon
858,take picture battery drops bar starts beeping letting know dieing,0,Amazon
859,terrible product waste money,0,Amazon
860,last time buying,0,Amazon
861,waste money,0,Amazon
862,far worked like charm,1,Amazon
863,weeks far good,1,Amazon
864,case best part download pictures laptop using ir even send pictures laptop phone,1,Amazon
865,would recommend item,1,Amazon
866,choice headset yearsgreat sound good volume good noise cancellation,1,Amazon
867,nice case feels good hands,1,Amazon
868,item received counterfeit,0,Amazon
869,really good far probably best bt headset ever,1,Amazon
870,works fine,1,Amazon
871,received headset good time happy,1,Amazon
872,pleased see could replace well travled swivel holster blackberry flip,1,Amazon
873,sister one also loves,1,Amazon
874,good quality,1,Amazon
875,far worst purchase ive made amazon,0,Amazon
876,excellent dualpurpose headset,1,Amazon
877,excellent,1,Amazon
878,work listening music cingular,0,Amazon
879,seems completely secure holding belt keeping iphone inside,1,Amazon
880,bottowm lineanother worthless cheap gimmick sprint,0,Amazon
881,trouble volume,0,Amazon
882,good thing fits comfortably small ears,1,Amazon
883,warning buy,0,Amazon
884,pairing iphone could happier far,1,Amazon
885,opens battery connection broken device turned,0,Amazon
886,didnt want clip going top ear causing discomfort,0,Amazon
887,best headset ever,1,Amazon
888,dont trust website dont expect helpful support,0,Amazon
889,loudglad say plantronics maintains flawless connection cell static normal use,1,Amazon
890,speaker low quality making ring tones sound cheap,0,Amazon
891,fits comfortably came three sizes earbud tips,1,Amazon
892,excellent product price,1,Amazon
893,bad reception,0,Amazon
894,product high quality chinese crap,0,Amazon
895,quite comfortable ear,1,Amazon
896,great phone,1,Amazon
897,dont buy product fails,0,Amazon
898,everything product wrongfirst,0,Amazon
899,pairing two devices easy barely took couple minutes started making calls voice dialing feature,1,Amazon
900,utterly confusing first caused lose couple important contacts,0,Amazon
901,terrible phone holder,0,Amazon
902,cutouts buttons placed perfectly,1,Amazon
903,love able use one headset landline cell,1,Amazon
904,problem ear loops made weak material break easily,0,Amazon
905,nearly good looking amazon picture makes look,0,Amazon
906,despite flaws case exceptional quality well worth additional costs owning official oem product,1,Amazon
907,stupid,0,Amazon
908,hear im driving car usually dont even put loudest setting,1,Amazon
909,seller shipped quickly much cheaper competitors,1,Amazon
910,good show samsung,1,Amazon
911,bought saved alot money,1,Amazon
912,always cuts makes beep beep beep sound says signal failed,0,Amazon
913,couldnt figure,0,Amazon
914,phone sounded ok great ok wifes phone almost totally unintelligible couldnt understand word said,0,Amazon
915,take battery phone put back together restart,0,Amazon
916,managed bend leaf spring back place metal enough stress break next drop,0,Amazon
917,leopard print wonderfully wild,1,Amazon
918,works,1,Amazon
919,saggy floppy piece junk,0,Amazon
920,much better hard plastic cases,1,Amazon
921,also new problem,0,Amazon
922,happy far,1,Amazon
923,cool phone,1,Amazon
924,works good,1,Amazon
925,motorola finally got voice quality bluetooth headset right,1,Amazon
926,looses connection phone even within couple feet two,0,Amazon
927,great would really recommend,1,Amazon
928,makes easier keep bluetooth im wearing,0,Amazon
929,said abovepretty useless,0,Amazon
930,never got,0,Amazon
931,pair headphones worst ever soundwise,0,Amazon
932,drain weak snap,0,Amazon
933,charge cingular att phone,0,Amazon
934,get extra minutes carry call get cut,1,Amazon
935,however year fliptop started get loose wobbly eventually screen went black couldnt receive place calls,0,Amazon
936,kept catching cable seat pull phone turn,0,Amazon
937,headset fulfills requirements happy purchase,1,Amazon
938,logitech bluetooth headset,1,Amazon
939,like fact rests lightly ear rather inside,1,Amazon
940,lot websites rating good phone,1,Amazon
941,tried cables computer ipod works fine,1,Amazon
942,mic joke volume quite low,0,Amazon
943,im returning,0,Amazon
944,maintain connection computer lap,0,Amazon
945,easy turn car volume controls quite accessable,1,Amazon
946,mine year christmas bought rest family,1,Amazon
947,otherwise easy install use clear sound,1,Amazon
948,nice leather,1,Amazon
949,purchase different case,0,Amazon
950,joy use,1,Amazon
951,much disappointed company,0,Amazon
952,satisifed,1,Amazon
953,didnt charge,0,Amazon
954,phone get bought sa say wow,1,Amazon
955,buttons small,0,Amazon
956,reading specs alone makes say wow,1,Amazon
957,love great armband,1,Amazon
958,really like product motorola allot clearer ear piece mic,1,Amazon
959,however keypads tinny sometimes reach wrong buttons,0,Amazon
960,exchanged sony ericson za im pretty happy decision,1,Amazon
961,impressed price cases,1,Amazon
962,also makes easier hold,1,Amazon
963,use product motor control center lot high voltage humming equipment works great,1,Amazon
964,pretty easy,1,Amazon
965,cannot make calls certain places,0,Amazon
966,however girl complain time phone doesnt wake like normal phone,0,Amazon
967,beautiful styling though,1,Amazon
968,company charge restocking fee still given refund back,0,Amazon
969,im trying return refund,0,Amazon
970,plugged find darn thing worked,0,Amazon
971,excellent product,1,Amazon
972,earbud piece breaks easily,0,Amazon
973,lousy product,0,Amazon
974,phone tries hard everything fails ability phone,0,Amazon
975,best charger seen market yet,1,Amazon
976,sweetest phone,1,Amazon
977,oh charger seems work fine,1,Amazon
978,fits securely ear hook even need used sound better directed ear canal,1,Amazon
979,enough volume,0,Amazon
980,echo problemvery unsatisfactory,0,Amazon
981,could take videos time quality poor,0,Amazon
982,dont waste money,0,Amazon
983,going first negatively review product,0,Amazon
984,adapter provide enough charging current,0,Amazon
985,much hype phone assumed best mistake,0,Amazon
986,also cannot take pictures case lense covered,0,Amazon
987,phone falls easily,0,Amazon
988,didnt work people hear talk,0,Amazon
989,text messaging feature really tricky use,0,Amazon
990,im really disappointed charger doesnt work,0,Amazon
991,painful ear,0,Amazon
992,lasted one day blew,0,Amazon
993,disappointed,0,Amazon
994,kind flops around,0,Amazon
995,screen get smudged easily touches ear face,0,Amazon
996,piece junk lose calls phone,0,Amazon
997,item match picture,0,Amazon
998,thing disappoint infra red port irda,0,Amazon
999,answer calls unit never worked,0,Amazon
1000,slowmoving aimless movie distressed drifting young man,0,IMDb
1001,sure lost flat characters audience nearly half walked,0,IMDb
1002,attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost nonexistent,0,IMDb
1003,little music anything speak,0,IMDb
1004,best scene movie gerardo trying find song keeps running head,1,IMDb
1005,rest movie lacks art charm meaning emptiness works guess empty,0,IMDb
1006,wasted two hours,0,IMDb
1007,saw movie today thought good effort good messages kids,1,IMDb
1008,bit predictable,0,IMDb
1009,loved casting jimmy buffet science teacher,1,IMDb
1010,baby owls adorable,1,IMDb
1011,movie showed lot florida best made look appealing,1,IMDb
1012,songs best muppets hilarious,1,IMDb
1013,cool,1,IMDb
1014,right case movie delivers everything almost right face,1,IMDb
1015,average acting main person low budget clearly see,0,IMDb
1016,review long overdue since consider tale two sisters single greatest film ever made,1,IMDb
1017,ill put gem movie terms screenplay cinematography acting postproduction editing directing aspect filmmaking,1,IMDb
1018,practically perfect true masterpiece sea faux masterpieces,1,IMDb
1019,structure film easily tightly constructed history cinema,1,IMDb
1020,think film something vitally important occurs every minute,1,IMDb
1021,words content level film enough easily fill dozen films,1,IMDb
1022,anyone right mind ask anything movie,1,IMDb
1023,quite simply highest superlative form cinema imaginable,1,IMDb
1024,yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture,1,IMDb
1025,short film certainly pulls punches,0,IMDb
1026,graphics far best part game,0,IMDb
1027,number one best th game series,1,IMDb
1028,deserves strong love,1,IMDb
1029,insane game,1,IMDb
1030,massive levels massive unlockable characters massive game,1,IMDb
1031,waste money game,1,IMDb
1032,kind money wasted properly,1,IMDb
1033,actually graphics good time,1,IMDb
1034,today graphics crap,0,IMDb
1035,say canada fun game aye,1,IMDb
1036,game rocks,1,IMDb
1037,buy play enjoy love,1,IMDb
1038,pure brilliance,1,IMDb
1039,flick doomed conception,0,IMDb
1040,idea lame take minor character mediocre pg film make complete nonsequel changing tone pgrated family movie,0,IMDb
1041,wasnt least bit interested,0,IMDb
1042,confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer,0,IMDb
1043,funny,0,IMDb
1044,even talented carrell cant save,0,IMDb
1045,costars dont fare much better people like morgan freeman jonah hill ed helms wasted,0,IMDb
1046,story predictable lazy,0,IMDb
1047,real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen,0,IMDb
1048,whatever cost much didnt translate quality thats sure,0,IMDb
1049,film succeeds despite perhaps obviously meagre budget,1,IMDb
1050,im glad film didnt go obvious choice lesser film certainly would,1,IMDb
1051,addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen,1,IMDb
1052,hard fall headoverheels love girl,1,IMDb
1053,negative insipid enough cause regret another hours life wasted front screen,0,IMDb
1054,long whiny pointless,0,IMDb
1055,recommend waiting future efforts let one go,0,IMDb
1056,excellent cast story line performances,1,IMDb
1057,totally believable,1,IMDb
1058,anne heche utterly convincing,1,IMDb
1059,sam shepards portrayal gung ho marine sobering,1,IMDb
1060,sat riveted tv screen,1,IMDb
1061,give one resounding,1,IMDb
1062,think tom hanks good actor,1,IMDb
1063,enjoyed reading book children little,1,IMDb
1064,disappointed movie,0,IMDb
1065,one character totally annoying voice gives feeling fingernails chalkboard,0,IMDb
1066,totally unnecessary trainroller coaster scene,0,IMDb
1067,absolutely warmth charm scenes characters,0,IMDb
1068,movie totally grates nerves,0,IMDb
1069,performances improved improvisation actors twice much worry whether theyre delivering line well whether line good,0,IMDb
1070,quite honestly often good,0,IMDb
1071,often dialogue doesnt really follow one line another fit surroundings,0,IMDb
1072,crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly,0,IMDb
1073,generally great things,1,IMDb
1074,wouldnt say theyre worth hours time though,0,IMDb
1075,suspense builders good cross line g pg,1,IMDb
1076,especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections,1,IMDb
1077,want movie thats gross gives chills great choice,1,IMDb
1078,alexander nevsky great film,1,IMDb
1079,amazing film artist one important whoever lived,1,IMDb
1080,im glad pretentious piece didnt planned dodge stratus big shots gonna help movie makers arent restrained movie business qubec,0,IMDb
1081,first movie ive given years,1,IMDb
1082,ever movie needed wordofmouth promote,1,IMDb
1083,overall film interesting thoughtprovoking,1,IMDb
1084,plus wellpaced suited relatively short run time,1,IMDb
1085,give one look,1,IMDb
1086,gave,1,IMDb
1087,wind lion well written superbly acted,1,IMDb
1088,true classic,1,IMDb
1089,actually turned pretty decent far blist horrorsuspense films go,1,IMDb
1090,definitely worth checking,1,IMDb
1091,problem script,0,IMDb
1092,horrendous,0,IMDb
1093,nothing believable,0,IMDb
1094,suspense feeling frustration retarded girls,0,IMDb
1095,manna heaven terrific film predictable unpredictable time,1,IMDb
1096,scenes often funny occasionally touching characters evaluate lives going,1,IMDb
1097,cast veteran actors nostalgia trip,1,IMDb
1098,ursula burtons portrayal nun touching funny time making fun nuns church,1,IMDb
1099,looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,1,IMDb
1100,dont think disappointed,1,IMDb
1101,frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0,IMDb
1102,acting bad dialogs extremely shallow insincere,0,IMDb
1103,predictable even chick flick,0,IMDb
1104,politically correct,0,IMDb
1105,disappointing,0,IMDb
1106,thing really worth watching scenery house beautiful,1,IMDb
1107,love lane ive never seen movie lousy,0,IMDb
1108,hour half wish could bring back,0,IMDb
1109,terms writing fresh bold,1,IMDb
1110,acting helps writing along well maybe idiotsavant sister could played better real joy watch,1,IMDb
1111,directing cinematography arent quite good,0,IMDb
1112,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,0,IMDb
1113,sometimes embarrassing look away,0,IMDb
1114,directing seems pretentious,0,IMDb
1115,scenes ohsomature neighbourgirl misplace,0,IMDb
1116,generally lines plot weaker average episode,0,IMDb
1117,scene debated whether sack trumpeter falsely accused murder pure horror really stupid,0,IMDb
1118,applause given prelude however,1,IMDb
1119,really liked,1,IMDb
1120,great film great director,1,IMDb
1121,movie edge seat made somewhat afraid go car end night,1,IMDb
1122,music film really nice,1,IMDb
1123,id advise anyone go see,1,IMDb
1124,brilliant,1,IMDb
1125,,1,IMDb
1126,liked movie way much,1,IMDb
1127,problem thought actor playing villain low rent michael ironside,0,IMDb
1128,rocked world certainly must see anyone social physical outlets,1,IMDb
1129,however didnt make fact overall tremendously boring movie,0,IMDb
1130,chemistry ben affleck sandra bullock film couldnt understand would consider even leaving wifetobe chick supposedly knocked,0,IMDb
1131,several moments movie didnt need excruciatingly slow moving,0,IMDb
1132,poor remake best friends wedding,0,IMDb
1133,great disappointment,0,IMDb
1134,cannot believe actors agreed film,0,IMDb
1135,could stand even watch long fear losing iq,0,IMDb
1136,guess nobody network aired dribble watched putting,0,IMDb
1137,imdb ratings go low awful time get negative numbers cases,0,IMDb
1138,saw mirrormask last night unsatisfactory experience,0,IMDb
1139,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0,IMDb
1140,central themes film handled ineptly stereotypically depth imagination,0,IMDb
1141,pretty pictures world cannot make piece work flawed core,0,IMDb
1142,hour half waste time following bunch pretty high schoolers whine cry life,0,IMDb
1143,cant relate hell barely understand,0,IMDb
1144,definitely cult classic well worth viewing sharing others,1,IMDb
1145,movie pure disaster story stupid editing worst seen confuses incredibly,0,IMDb
1146,fish badly made underwater shots repeated thousand times film,0,IMDb
1147,truly truly bad film,0,IMDb
1148,acting terrible writing worse,0,IMDb
1149,possible way movie could redeemed would mstk fodder,0,IMDb
1150,paid much,0,IMDb
1151,also real treat see anthony quinn playing crazy horse,1,IMDb
1152,boring,0,IMDb
1153,plot whatsoever,0,IMDb
1154,plot,0,IMDb
1155,horrible,0,IMDb
1156,worst hour half lifeoh gosh,0,IMDb
1157,walk theatre minutes get relief,0,IMDb
1158,hate movies like,0,IMDb
1159,yeah movie pretty much sucked,0,IMDb
1160,plot storyline,0,IMDb
1161,go see movie bring pillow girlfriendboyfriend keep occupied,0,IMDb
1162,awful,0,IMDb
1163,dont think ive ever gone movie disliked much,0,IMDb
1164,good thing tickets cost five dollars would mad id paid see crap,0,IMDb
1165,nobody identifies characters theyre cardboard cutouts stereotypes predictably reversestereotypes,0,IMDb
1166,bad film bad writing good actorsan ugly cartoon crafted paul haggis people cant handle anything bold strokes storytellinga picture painted crayons,0,IMDb
1167,crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things,0,IMDb
1168,still like movie empowerment women theres enough movies like one,1,IMDb
1169,brain attempt shutdown part primal impulse selfpreservation,0,IMDb
1170,left shattered experience watching film took good two hours fully recover,0,IMDb
1171,movie joins revenge boogeyman zombiez part hellish trinity horror films,0,IMDb
1172,certainly mean distinction good way,0,IMDb
1173,mean terrible way,0,IMDb
1174,film redeeming features,0,IMDb
1175,everything appalling,0,IMDb
1176,artless camerawork endlessly presents us ugliest setting imaginable ie,0,IMDb
1177,story beyond stupid,0,IMDb
1178,script iswas script,0,IMDb
1179,kids annoying,0,IMDb
1180,lead man charismafree,0,IMDb
1181,utterly without merit level akin torture,0,IMDb
1182,ill even say torture,0,IMDb
1183,maybe would reasonable explanation atrocity,0,IMDb
1184,pleasant voyage selfdiscovery,0,IMDb
1185,highly unrecommended,0,IMDb
1186,premise sound stupid thats,0,IMDb
1187,yes bad,0,IMDb
1188,nothing recommend,0,IMDb
1189,excellent performance ms,1,IMDb
1190,garbo showed right bat talents could carry silent era wanted see silent work netflix doesnt seem stocking,1,IMDb
1191,also great see renowned silent screenwriter frances marion hasnt missed step going silent sound,1,IMDb
1192,movie suffered writing needed suspense,0,IMDb
1193,many close ups,0,IMDb
1194,movie seemed drag heroes didnt really work freedom,0,IMDb
1195,movie definitely average rent,0,IMDb
1196,youll love,1,IMDb
1197,movie bad,0,IMDb
1198,bad,0,IMDb
1199,film way long,0,IMDb
1200,definitely one bad ones,0,IMDb
1201,movie received great quality film age,1,IMDb
1202,john wayne incredible job young movie industry,1,IMDb
1203,screen presence shined thought even though senior actors screen,1,IMDb
1204,think must see older john wayne film,1,IMDb
1205,really dont see anyone could enjoy movie,0,IMDb
1206,dont think ive ever seen movie half boring selfindulgent piece junk,0,IMDb
1207,probably would better director hadnt spent movie showcasing art work really isnt noteworthy,0,IMDb
1208,another thing didnt really like character got punched face gallon blood would spew forth soon,0,IMDb
1209,jamie foxx absolutely ray charles,1,IMDb
1210,performance simply genius,1,IMDb
1211,owns film spacek owned coal miners daughter quaid owned great balls fire,1,IMDb
1212,fact hard remember part ray charles acted played man,1,IMDb
1213,ray charles legendary,1,IMDb
1214,ray charles life provided excellent biographical material film goes well beyond another movie musician,1,IMDb
1215,hitchcock great director,1,IMDb
1216,ironically mostly find films total waste time watch,0,IMDb
1217,secondly hitchcock pretty much perfected thriller chase movie,1,IMDb
1218,pandering audience sabotages films,0,IMDb
1219,hence whole story lacks certain energy,0,IMDb
1220,plot simply rumbles like machine desperately depending addition new scenes,0,IMDb
1221,usual hitchcock logic flaws,0,IMDb
1222,mishima extremely uninteresting,0,IMDb
1223,chilly unremarkable movie author livingworking chilly abstruse culture,0,IMDb
1224,flat reenactments dont hold attention emotionally adrift stagy,0,IMDb
1225,rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc,0,IMDb
1226,bore pieces kill momentum movie quicker anyone else,0,IMDb
1227,schrader made resume full lousy amateurish films,0,IMDb
1228,first watched movie loved,1,IMDb
1229,totally fascinated music dancing everything,1,IMDb
1230,however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing,0,IMDb
1231,mean realistic world would never gotten ballet repertory whole thing quite pathetic,0,IMDb
1232,character developments also lacked depth,0,IMDb
1233,woa talk awful,0,IMDb
1234,waste time,0,IMDb
1235,horrible,0,IMDb
1236,worst sappiest dialogue could go,0,IMDb
1237,really made unwatchable direction,0,IMDb
1238,poor actors,0,IMDb
1239,cant even tell talent pathetic lines speak director gave action,0,IMDb
1240,check directors filmography site see film didnt chance,0,IMDb
1241,would even good made tv flick,0,IMDb
1242,good intentions made film great film might one greatest films ever made,1,IMDb
1243,film great actors master director significant themeat least wouldbe significant theme undertone fifties existential worldweariness aerial scenes ought thrilled senses imagination characters one might deeply care,1,IMDb
1244,regrettably film fails,0,IMDb
1245,movie lacks visual interest drama expression feeling celebration patriotism underlines narrative,0,IMDb
1246,actress worse used june allison movie,0,IMDb
1247,yet enjoy watching,1,IMDb
1248,unfortunately bad movie plain bad,0,IMDb
1249,bad script bad direction horrible acting make one plain bad,0,IMDb
1250,dialogue sucked,0,IMDb
1251,cinematographyif called thatsucked,0,IMDb
1252,soundtrack sucked,0,IMDb
1253,acting sucked,0,IMDb
1254,concert sequences sucked,0,IMDb
1255,nice,1,IMDb
1256,funny,1,IMDb
1257,funny,1,IMDb
1258,overall movie cheap trash,0,IMDb
1259,movie funny considering ridiculousness,0,IMDb
1260,came feeling angry,0,IMDb
1261,spoilers whatever else cant said surface superbly crafted,1,IMDb
1262,cinematography simply stunning say least fx nothing stateoftheart,1,IMDb
1263,conceptually show offers little bit everything everybody parents kids fantasy andor fx fans,1,IMDb
1264,wasnt single sour note struck actingwise either surprisingly solid casting,1,IMDb
1265,things considered job well done,1,IMDb
1266,thanks good movie like done released,1,IMDb
1267,one best mexican movies ever one less understood even mexican matter identified felt,1,IMDb
1268,ranks highly great noircrimedrama incredible performances belmondo lino ventura,1,IMDb
1269,attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous,1,IMDb
1270,excellent drama excellent thriller excellent film,1,IMDb
1271,best melville,1,IMDb
1272,everything film simply incredible,1,IMDb
1273,truly take journey eyes soul child,1,IMDb
1274,black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience,1,IMDb
1275,performances real gripping crocdodile extremely well done indeed black water website believed thats used real crocs swamp location fabulous,1,IMDb
1276,thoroughly enjoyed christopher eccleston took control tardis continuation series,1,IMDb
1277,im sure trying film,0,IMDb
1278,turn good day feeling night disturbing memories guess succeeded,0,IMDb
1279,lot beautiful places,1,IMDb
1280,forced like everything movie,0,IMDb
1281,lame,0,IMDb
1282,heres movie really pied,0,IMDb
1283,dont even get started jerky camerawork,0,IMDb
1284,saw theater thought going sick,0,IMDb
1285,summary witticisms werent witty,0,IMDb
1286,plot well said id let one go,0,IMDb
1287,acting bad,0,IMDb
1288,really bad,0,IMDb
1289,even billy bob couldnt rise script worse,0,IMDb
1290,camerawork bad,0,IMDb
1291,rating,0,IMDb
1292,amazing finale possibly best trilogy time,1,IMDb
1293,kieslowski never ceases amaze,1,IMDb
1294,one favourite directors one talented directors history cinema,1,IMDb
1295,use colours french flag three films nothing short incredible every shot every scene like work art,1,IMDb
1296,three visually appealing movies ive ever seen,1,IMDb
1297,subtle connections three films awesome,1,IMDb
